data,regiao,classe,consumo,consumidores
2004-01-06,Nordeste,Industrial,2105230.1,63836
2004-01-06,Nordeste,Outros,528674.3,172583
2004-01-06,Nordeste,Residencial,1002350.8,11060883
2004-01-06,Nordeste,Rural,199303.19999999998,643257
2004-01-06,Norte,Comercial,194163.09999999998,242471
2004-01-06,Norte,Industrial,906709.5,15188
2004-01-06,Norte,Outros,185386.6,33442
2004-01-06,Norte,Residencial,332089.3,2343387
2004-01-06,Norte,Rural,23033.5,107239
2004-01-06,Sudeste,Comercial,2159479.4,2072686
2004-01-06,Sudeste,Industrial,7501654.8,232614
2004-01-06,Sudeste,Outros,1411249.2,174123
2004-01-06,Sudeste,Residencial,3433442.5,22573915
2004-01-06,Sudeste,Rural,392691.0,817297
2004-01-06,Sul,Comercial,627651.6,696985
2004-01-06,Sul,Industrial,2143097.0,160562
2004-01-06,Sul,Outros,374334.6,85938
2004-01-06,Sul,Residencial,1056850.2,6828481
2004-01-06,Sul,Rural,354630.2,825154
2004-01-07,Centro-Oeste,Comercial,283104.39999999997,343175
2004-01-07,Centro-Oeste,Industrial,462993.0,33411
2004-01-07,Centro-Oeste,Outros,228901.4,35706
2004-01-07,Centro-Oeste,Residencial,470539.0,3281665
2004-01-07,Centro-Oeste,Rural,166211.80000000002,242696
2004-01-07,Nordeste,Comercial,539451.8,897765
2004-01-07,Nordeste,Industrial,2157223.3,63888
2004-01-07,Nordeste,Outros,510420.60000000003,173097
2004-01-07,Nordeste,Residencial,969181.2999999999,11065279
2004-01-07,Nordeste,Rural,199897.09999999998,646959
2004-01-07,Norte,Comercial,194497.3,245563
2004-01-07,Norte,Industrial,936236.1,13632
2004-01-07,Norte,Outros,181756.4,33673
2004-01-07,Norte,Residencial,328423.0,2354111
2004-01-07,Norte,Rural,24089.6,108085
2004-01-07,Sudeste,Comercial,2233526.3,2075708
2004-01-07,Sudeste,Industrial,7580439.6,232805
2004-01-07,Sudeste,Outros,1403301.2,173806
2004-01-07,Sudeste,Residencial,3457622.9,22651117
2004-01-07,Sudeste,Rural,419396.1,820835
2004-01-07,Sul,Comercial,636654.4,697861
2004-01-07,Sul,Industrial,2169915.3,160838
2004-01-07,Sul,Outros,372715.2,86049
2004-01-07,Sul,Residencial,1066704.8,6833694
2004-01-07,Sul,Rural,352803.1,826671
2004-01-08,Centro-Oeste,Comercial,286088.0,344117
2004-01-08,Centro-Oeste,Industrial,474389.5,33466
2004-01-08,Centro-Oeste,Outros,226349.3,35843
2004-01-08,Centro-Oeste,Residencial,479191.69999999995,3294085
2004-01-08,Centro-Oeste,Rural,179671.59999999998,243766
2004-01-08,Nordeste,Comercial,544149.7000000001,901131
2004-01-08,Nordeste,Industrial,2205098.4,64207
2004-01-08,Nordeste,Outros,511799.60000000003,173729
2004-01-08,Nordeste,Residencial,962934.3,11099911
2004-01-08,Nordeste,Rural,214532.5,650337
2004-01-08,Norte,Comercial,198855.0,255301
2004-01-08,Norte,Industrial,979205.3999999999,13935
2004-01-08,Norte,Outros,187378.09999999998,34974
2004-01-08,Norte,Residencial,338836.3,2447323
2004-01-08,Norte,Rural,25620.9,109776
2004-01-08,Sudeste,Comercial,2192652.0,2073764
2004-01-08,Sudeste,Industrial,7710195.9,232523
2004-01-08,Sudeste,Outros,1385036.5999999999,177034
2004-01-08,Sudeste,Residencial,3453322.4,22682587
2004-01-08,Sudeste,Rural,448368.1,824143
2004-01-08,Sul,Comercial,645522.8,700435
2004-01-08,Sul,Industrial,2223451.8000000003,160638
2004-01-08,Sul,Outros,374813.7,86467
2004-01-08,Sul,Residencial,1070192.3,6855884
2004-01-08,Sul,Rural,339201.8,828073
2004-01-09,Centro-Oeste,Comercial,316317.2,345555
2004-01-09,Centro-Oeste,Industrial,460469.39999999997,33568
2004-01-09,Centro-Oeste,Outros,246219.3,35611
2004-01-09,Centro-Oeste,Residencial,514970.89999999997,3307368
2004-01-09,Centro-Oeste,Rural,189190.1,245096
2004-01-09,Nordeste,Comercial,577055.2,906683
2004-01-09,Nordeste,Industrial,2185140.5,64324
2004-01-09,Nordeste,Outros,522014.30000000005,173642
2004-01-09,Nordeste,Residencial,1041242.5,11171666
2004-01-09,Nordeste,Rural,244577.80000000002,656733
2004-01-09,Norte,Comercial,204079.8,246252
2004-01-09,Norte,Industrial,916923.3,15338
2004-01-09,Norte,Outros,189816.09999999998,33296
2004-01-09,Norte,Residencial,351459.30000000005,2372519
2004-01-09,Norte,Rural,24878.0,110570
2004-01-09,Sudeste,Comercial,2359084.9,2075759
2004-01-09,Sudeste,Industrial,7747917.2,232321
2004-01-09,Sudeste,Outros,1392398.1,178123
2004-01-09,Sudeste,Residencial,3596160.2,22720074
2004-01-09,Sudeste,Rural,548171.7,827212
2004-01-09,Sul,Comercial,664784.3,702762
2004-01-09,Sul,Industrial,2150364.2,160880
2004-01-09,Sul,Outros,378960.2,86840
2004-01-09,Sul,Residencial,1100557.3,6872403
2004-01-09,Sul,Rural,359745.5,829689
2004-01-10,Centro-Oeste,Comercial,325638.6,345195
2004-01-10,Centro-Oeste,Industrial,466902.0,33601
2004-01-10,Centro-Oeste,Outros,247346.40000000002,35767
2004-01-10,Centro-Oeste,Residencial,529450.1,3320424
2004-01-10,Centro-Oeste,Rural,174161.4,246392
2004-01-10,Nordeste,Comercial,585636.2,907746
2004-01-10,Nordeste,Industrial,2227272.2,64519
2004-01-10,Nordeste,Outros,534741.5,175302
2004-01-10,Nordeste,Residencial,1046248.7999999999,11233958
2004-01-10,Nordeste,Rural,263982.10000000003,662506
2004-01-10,Norte,Comercial,204617.0,244330
2004-01-10,Norte,Industrial,947638.0,15264
2004-01-10,Norte,Outros,194008.40000000002,33542
2004-01-10,Norte,Residencial,353206.6,2383798
2004-01-10,Norte,Rural,24696.699999999997,111389
2004-01-10,Sudeste,Comercial,2415035.5,2086721
2004-01-10,Sudeste,Industrial,7762817.3,233798
2004-01-10,Sudeste,Outros,1466952.0999999999,178047
2004-01-10,Sudeste,Residencial,3608129.9,22981214
2004-01-10,Sudeste,Rural,540689.0,831624
2004-01-10,Sul,Comercial,657062.4,704818
2004-01-10,Sul,Industrial,2130103.0,160989
2004-01-10,Sul,Outros,370275.1,86969
2004-01-10,Sul,Residencial,1069478.3,6888246
2004-01-10,Sul,Rural,363778.6,831660
2004-01-11,Centro-Oeste,Comercial,313670.6,345583
2004-01-11,Centro-Oeste,Industrial,419737.8,33498
2004-01-11,Centro-Oeste,Outros,244926.9,35860
2004-01-11,Centro-Oeste,Residencial,505694.4,3335253
2004-01-11,Centro-Oeste,Rural,120777.6,247403
2004-01-11,Nordeste,Comercial,614453.1,904057
2004-01-11,Nordeste,Industrial,2196814.5,70227
2004-01-11,Nordeste,Outros,545433.8,175049
2004-01-11,Nordeste,Residencial,1083211.6,11289038
2004-01-11,Nordeste,Rural,268551.6,668066
2004-01-11,Norte,Comercial,208618.7,246909
2004-01-11,Norte,Industrial,934565.0,13619
2004-01-11,Norte,Outros,189788.0,33683
2004-01-11,Norte,Residencial,362279.3,2397918
2004-01-11,Norte,Rural,24387.300000000003,112275
2004-01-11,Sudeste,Comercial,2418875.1,2064100
2004-01-11,Sudeste,Industrial,7869101.5,237318
2004-01-11,Sudeste,Outros,1444088.1,176709
2004-01-11,Sudeste,Residencial,3608514.9,22822663
2004-01-11,Sudeste,Rural,460421.3,832973
2004-01-11,Sul,Comercial,677551.0,672695
2004-01-11,Sul,Industrial,2027558.0,161322
2004-01-11,Sul,Outros,373888.9,87192
2004-01-11,Sul,Residencial,1071489.9,6905108
2004-01-11,Sul,Rural,378931.4,833266
2004-01-12,Centro-Oeste,Comercial,325587.5,346565
2004-01-12,Centro-Oeste,Industrial,432117.0,33576
2004-01-12,Centro-Oeste,Outros,247946.40000000002,36017
2004-01-12,Centro-Oeste,Residencial,513252.4,3347438
2004-01-12,Centro-Oeste,Rural,116210.29999999999,248900
2004-01-12,Nordeste,Comercial,631929.6000000001,911503
2004-01-12,Nordeste,Industrial,2234001.9,64520
2004-01-12,Nordeste,Outros,547459.6,174746
2004-01-12,Nordeste,Residencial,1104220.2,11316858
2004-01-12,Nordeste,Rural,252898.4,670541
2004-01-12,Norte,Comercial,208270.0,246706
2004-01-12,Norte,Industrial,952561.8,13613
2004-01-12,Norte,Outros,199618.5,33614
2004-01-12,Norte,Residencial,355893.7,2404435
2004-01-12,Norte,Rural,24276.7,113245
2004-01-12,Sudeste,Comercial,2503405.1,2066137
2004-01-12,Sudeste,Industrial,7777337.1,231645
2004-01-12,Sudeste,Outros,1468276.9,176937
2004-01-12,Sudeste,Residencial,3569437.9,22857176
2004-01-12,Sudeste,Rural,432190.7,834100
2004-01-12,Sul,Comercial,730944.4,708221
2004-01-12,Sul,Industrial,1995865.8,161429
2004-01-12,Sul,Outros,375637.2,87344
2004-01-12,Sul,Residencial,1100567.1,6922896
2004-01-12,Sul,Rural,462199.9,835129
2005-01-01,Centro-Oeste,Comercial,317721.5,347445
2005-01-01,Centro-Oeste,Industrial,398912.60000000003,33475
2005-01-01,Centro-Oeste,Outros,238936.2,35997
2005-01-01,Centro-Oeste,Residencial,526993.9,3359411
2005-01-01,Centro-Oeste,Rural,102254.1,252497
2005-01-01,Nordeste,Comercial,642308.4,917624
2005-01-01,Nordeste,Industrial,2163115.5,64817
2005-01-01,Nordeste,Outros,543953.3,176332
2005-01-01,Nordeste,Residencial,1166974.2,11383554
2005-01-01,Nordeste,Rural,258824.69999999998,677552
2005-01-01,Norte,Comercial,204290.1,247241
2005-01-01,Norte,Industrial,923505.6,13617
2005-01-01,Norte,Outros,179560.9,33683
2005-01-01,Norte,Residencial,355959.6,2422763
2005-01-01,Norte,Rural,24222.2,114778
2005-01-01,Sudeste,Comercial,2564318.0999999996,2091282
2005-01-01,Sudeste,Industrial,7298292.9,232906
2005-01-01,Sudeste,Outros,1407399.2000000002,178257
2005-01-01,Sudeste,Residencial,3873894.3,23175138
2005-01-01,Sudeste,Rural,374583.8,839736
2005-01-01,Sul,Comercial,763906.0,713214
2005-01-01,Sul,Industrial,1866926.3,161834
2005-01-01,Sul,Outros,410186.0,87767
2005-01-01,Sul,Residencial,1194715.8,6969976
2005-01-01,Sul,Rural,573682.0,840439
2005-01-02,Centro-Oeste,Comercial,317209.6,347075
2005-01-02,Centro-Oeste,Industrial,406829.4,33327
2005-01-02,Centro-Oeste,Outros,233197.5,36091
2005-01-02,Centro-Oeste,Residencial,511087.2,3364435
2005-01-02,Centro-Oeste,Rural,101353.7,253778
2005-01-02,Nordeste,Comercial,621586.2,918072
2005-01-02,Nordeste,Industrial,2012795.5,64835
2005-01-02,Nordeste,Outros,534740.9,176246
2005-01-02,Nordeste,Residencial,1132479.4,11391446
2005-01-02,Nordeste,Rural,224435.9,680658
2005-01-02,Norte,Comercial,190882.2,246266
2005-01-02,Norte,Industrial,899364.1,13525
2005-01-02,Norte,Outros,169645.40000000002,33776
2005-01-02,Norte,Residencial,336135.2,2427336
2005-01-02,Norte,Rural,23097.3,115568
2005-01-02,Sudeste,Comercial,2471439.2,2089823
2005-01-02,Sudeste,Industrial,7377941.4,232444
2005-01-02,Sudeste,Outros,1381601.7000000002,177498
2005-01-02,Sudeste,Residencial,3616966.9,23197625
2005-01-02,Sudeste,Rural,358242.4,842102
2005-01-02,Sul,Comercial,764488.6,714004
2005-01-02,Sul,Industrial,2049609.2999999998,161288
2005-01-02,Sul,Outros,392914.1,87744
2005-01-02,Sul,Residencial,1161664.3,6990138
2005-01-02,Sul,Rural,597909.6,841557
2005-01-03,Centro-Oeste,Comercial,338132.3,347855
2005-01-03,Centro-Oeste,Industrial,430507.2,33245
2005-01-03,Centro-Oeste,Outros,249886.4,36337
2005-01-03,Centro-Oeste,Residencial,520203.2,3375296
2005-01-03,Centro-Oeste,Rural,111582.4,254962
2005-01-03,Nordeste,Comercial,636502.0,920857
2005-01-03,Nordeste,Industrial,2157383.7,64877
2005-01-03,Nordeste,Outros,547904.0,176538
2005-01-03,Nordeste,Residencial,1137173.9,11446101
2005-01-03,Nordeste,Rural,213238.0,688567
2005-01-03,Norte,Comercial,200009.4,246998
2005-01-03,Norte,Industrial,928585.6,13564
2005-01-03,Norte,Outros,175815.7,33801
2005-01-03,Norte,Residencial,341724.5,2433342
2005-01-03,Norte,Rural,23462.2,116805
2005-01-03,Sudeste,Comercial,2584265.0,2090729
2005-01-03,Sudeste,Industrial,7406089.4,232508
2005-01-03,Sudeste,Outros,1392948.2,177724
2005-01-03,Sudeste,Residencial,3711050.5,23274093
2005-01-03,Sudeste,Rural,381632.7,846092
2005-01-03,Sul,Comercial,793611.2,715227
2005-01-03,Sul,Industrial,2142695.4,161668
2005-01-03,Sul,Outros,410505.7,87777
2005-01-03,Sul,Residencial,1155063.5,7008363
2005-01-03,Sul,Rural,567997.2,843046
2005-01-04,Centro-Oeste,Comercial,353385.7,348830
2005-01-04,Centro-Oeste,Industrial,463072.0,33173
2005-01-04,Centro-Oeste,Outros,251558.2,36520
2005-01-04,Centro-Oeste,Residencial,531746.5,3384032
2005-01-04,Centro-Oeste,Rural,127021.8,256388
2005-01-04,Nordeste,Comercial,640080.7999999999,922462
2005-01-04,Nordeste,Industrial,2133404.6,64840
2005-01-04,Nordeste,Outros,551458.6,177030
2005-01-04,Nordeste,Residencial,1145853.6,11473245
2005-01-04,Nordeste,Rural,204618.09999999998,693565
2005-01-04,Norte,Comercial,201345.3,247331
2005-01-04,Norte,Industrial,894471.9,13598
2005-01-04,Norte,Outros,182022.7,33913
2005-01-04,Norte,Residencial,350369.2,2440322
2005-01-04,Norte,Rural,23677.4,118017
2005-01-04,Sudeste,Comercial,2701315.4,2090897
2005-01-04,Sudeste,Industrial,7745456.100000001,232171
2005-01-04,Sudeste,Outros,1523022.2999999998,178896
2005-01-04,Sudeste,Residencial,3923735.0,23308907
2005-01-04,Sudeste,Rural,402403.9,849192
2005-01-04,Sul,Comercial,790952.7,716706
2005-01-04,Sul,Industrial,2137584.2,162254
2005-01-04,Sul,Outros,417650.2,87794
2005-01-04,Sul,Residencial,1180033.9,7022044
2005-01-04,Sul,Rural,470787.1,844203
2005-01-05,Centro-Oeste,Comercial,325505.0,349553
2005-01-05,Centro-Oeste,Industrial,447906.3,33187
2005-01-05,Centro-Oeste,Outros,245467.40000000002,36641
2005-01-05,Centro-Oeste,Residencial,505927.3,3393175
2005-01-05,Centro-Oeste,Rural,147551.30000000002,257894
2005-01-05,Nordeste,Comercial,634012.3999999999,922324
2005-01-05,Nordeste,Industrial,2227816.1,64685
2005-01-05,Nordeste,Outros,560335.8,177964
2005-01-05,Nordeste,Residencial,1118875.8,11482789
2005-01-05,Nordeste,Rural,197560.6,698409
2005-01-05,Norte,Comercial,202821.7,247184
2005-01-05,Norte,Industrial,940021.2,13453
2005-01-05,Norte,Outros,183924.6,34202
2005-01-05,Norte,Residencial,338681.0,2435385
2005-01-05,Norte,Rural,23960.1,119752
2005-01-05,Sudeste,Comercial,2502344.2,2087852
2005-01-05,Sudeste,Industrial,7505360.699999999,231922
2005-01-05,Sudeste,Outros,1482416.0,178140
2005-01-05,Sudeste,Residencial,3655561.3,23303208
2005-01-05,Sudeste,Rural,436281.2,852362
2005-01-05,Sul,Comercial,712920.5,718597
2005-01-05,Sul,Industrial,2171215.3,163239
2005-01-05,Sul,Outros,406561.4,87842
2005-01-05,Sul,Residencial,1099102.0,7031621
2005-01-05,Sul,Rural,410021.5,843545
2005-01-06,Centro-Oeste,Comercial,315967.19999999995,350372
2005-01-06,Centro-Oeste,Industrial,429883.0,33171
2005-01-06,Centro-Oeste,Outros,242218.6,36781
2005-01-06,Centro-Oeste,Residencial,517429.1,3400781
2005-01-06,Centro-Oeste,Rural,158990.2,260762
2005-01-06,Nordeste,Comercial,600850.2000000001,929712
2005-01-06,Nordeste,Industrial,2151482.1999999997,64968
2005-01-06,Nordeste,Outros,551193.2,178920
2005-01-06,Nordeste,Residencial,1071456.8,11537479
2005-01-06,Nordeste,Rural,200232.30000000002,708609
2005-01-06,Norte,Comercial,209084.9,248926
2005-01-06,Norte,Industrial,920067.5,13403
2005-01-06,Norte,Outros,184543.0,34415
2005-01-06,Norte,Residencial,352715.7,2444596
2005-01-06,Norte,Rural,25876.9,120813
2005-01-06,Sudeste,Comercial,2463655.8,2092904
2005-01-06,Sudeste,Industrial,7506187.5,231859
2005-01-06,Sudeste,Outros,1505752.7,178902
2005-01-06,Sudeste,Residencial,3710837.3,23431298
2005-01-06,Sudeste,Rural,447433.7,857787
2005-01-06,Sul,Comercial,704720.6,719648
2005-01-06,Sul,Industrial,2135428.4,163937
2005-01-06,Sul,Outros,407665.3,88045
2005-01-06,Sul,Residencial,1124218.9,7045184
2005-01-06,Sul,Rural,382658.7,845953
2005-01-07,Centro-Oeste,Comercial,305615.8,351365
2005-01-07,Centro-Oeste,Industrial,501694.1,33217
2005-01-07,Centro-Oeste,Outros,239097.5,36915
2005-01-07,Centro-Oeste,Residencial,501666.5,3413382
2005-01-07,Centro-Oeste,Rural,177866.5,262583
2005-01-07,Nordeste,Comercial,589066.0,931735
2005-01-07,Nordeste,Industrial,2237703.7,65167
2005-01-07,Nordeste,Outros,554357.5,179750
2005-01-07,Nordeste,Residencial,1047171.8,11583006
2005-01-07,Nordeste,Rural,215479.4,719578
2005-01-07,Norte,Comercial,212586.1,250264
2005-01-07,Norte,Industrial,934866.8,13478
2005-01-07,Norte,Outros,187979.9,34580
2005-01-07,Norte,Residencial,356661.3,2452475
2005-01-07,Norte,Rural,26823.5,122876
2005-01-07,Sudeste,Comercial,2354907.3,2092395
2005-01-07,Sudeste,Industrial,7608434.9,231619
2005-01-07,Sudeste,Outros,1470899.2000000002,179599
2005-01-07,Sudeste,Residencial,3626333.3,23472197
2005-01-07,Sudeste,Rural,448543.7,862583
2005-01-07,Sul,Comercial,685081.6,721205
2005-01-07,Sul,Industrial,2147746.6,164416
2005-01-07,Sul,Outros,402849.1,88112
2005-01-07,Sul,Residencial,1112987.6,7053084
2005-01-07,Sul,Rural,375897.3,846347
2005-01-08,Centro-Oeste,Comercial,303312.5,350973
2005-01-08,Centro-Oeste,Industrial,474577.4,33052
2005-01-08,Centro-Oeste,Outros,238808.9,37002
2005-01-08,Centro-Oeste,Residencial,507765.4,3414325
2005-01-08,Centro-Oeste,Rural,192607.0,264343
2005-01-08,Nordeste,Comercial,607267.6,933419
2005-01-08,Nordeste,Industrial,2266162.1,65298
2005-01-08,Nordeste,Outros,556636.0,180341
2005-01-08,Nordeste,Residencial,1071288.7,11626588
2005-01-08,Nordeste,Rural,238944.1,727650
2005-01-08,Norte,Comercial,210946.7,249983
2005-01-08,Norte,Industrial,941679.7,13548
2005-01-08,Norte,Outros,183146.0,34720
2005-01-08,Norte,Residencial,360832.6,2462920
2005-01-08,Norte,Rural,28852.4,124036
2005-01-08,Sudeste,Comercial,2334136.8000000003,2091176
2005-01-08,Sudeste,Industrial,7923120.9,231257
2005-01-08,Sudeste,Outros,1466988.8,179746
2005-01-08,Sudeste,Residencial,3635143.4,23542268
2005-01-08,Sudeste,Rural,479126.8,867201
2005-01-08,Sul,Comercial,686421.9,723076
2005-01-08,Sul,Industrial,2149185.3,165383
2005-01-08,Sul,Outros,407766.3,88368
2005-01-08,Sul,Residencial,1129754.0,7067678
2005-01-08,Sul,Rural,370531.5,848334
2005-01-09,Centro-Oeste,Comercial,325756.4,351932
2005-01-09,Centro-Oeste,Industrial,462484.19999999995,32992
2005-01-09,Centro-Oeste,Outros,255381.80000000002,37154
2005-01-09,Centro-Oeste,Residencial,539782.9,3427245
2005-01-09,Centro-Oeste,Rural,189661.0,266502
2005-01-09,Nordeste,Comercial,616000.5,935148
2005-01-09,Nordeste,Industrial,2242895.3,65441
2005-01-09,Nordeste,Outros,561191.3,181264
2005-01-09,Nordeste,Residencial,1077986.3,11651058
2005-01-09,Nordeste,Rural,265707.4,736012
2005-01-09,Norte,Comercial,220038.3,250761
2005-01-09,Norte,Industrial,926258.0,13519
2005-01-09,Norte,Outros,195604.2,34855
2005-01-09,Norte,Residencial,381555.0,2475471
2005-01-09,Norte,Rural,28705.2,126136
2005-01-09,Sudeste,Comercial,2511682.1999999997,2086563
2005-01-09,Sudeste,Industrial,8006237.0,231016
2005-01-09,Sudeste,Outros,1523206.6,180327
2005-01-09,Sudeste,Residencial,3819948.1,23596625
2005-01-09,Sudeste,Rural,530914.6,873335
2005-01-09,Sul,Comercial,687756.0,724666
2005-01-09,Sul,Industrial,2062708.1,165906
2005-01-09,Sul,Outros,404028.0,88536
2005-01-09,Sul,Residencial,1130082.2,7080925
2005-01-09,Sul,Rural,369556.7,850257
2005-01-10,Centro-Oeste,Comercial,338841.9,352609
2005-01-10,Centro-Oeste,Industrial,448952.5,32776
2005-01-10,Centro-Oeste,Outros,255672.5,37356
